GEOID,STATEFP,COUNTYFP,TRACTCE,stnd_ParksRec_PerSqMi,stnd_TransitStops_PerSqMi,stnd_RedlinedAreas_PerSqMi,stnd_Brownfields_PerSqMi,stnd_Colleges_PerSqMi,stnd_MedFacilities_PerSqMi,stnd_GroceryStores_PerSqMi,stnd_Gas_Stations_PerSqMi,stnd_HazWasteFacilit_PerSqMi,stnd_Hospitals_PerSqMi,stnd_NPDES_PerSqMi,stnd_Fire_Stations_PerSqMi,stnd_Pharmacies_PerSqMi,stnd_Nursing_Homes_PerSqMi,stnd_PubLibraries_PerSqMi,stnd_PubSchools_PerSqMi,stnd_RegUndergStorage_PerSqMi,stnd_Jobs_PerSqMi,stnd_Pct_Commute_LessThan15Mins,stnd_NEAR_REC,stnd_NEAR_BRWN,stnd_NEAR_HAZ,stnd_NEAR_GROC,stnd_NEAR_RED,stnd_NEAR_MED,stnd_NEAR_HOSPITALS,stnd_NEAR_LIBRARY,stnd_NEAR_INTST,stnd_Percent_Impervious,stnd_IsoIndex_BW_2020,stnd_SimpsonIndex_DivHouseStock,stnd_Pct_Pop_hasAccessFiber,stnd_Percent_Pop_NoProvider,stnd_Interstate_Present,stnd_Transit_Route_Indicator,stnd_Overall_SelfRespRate,stnd_STREETCON
37001020100,37,1,20100,0.408978485,1.30903644,-0.217369596,-0.165189378,-0.17636014,1.477018986,-0.181156505,0.502587554,0.77332492,-0.175163337,-0.25404015,1.108668042,0.284096932,1.939668089,0.956454936,0.106443949,1.44795881,0.510755315,0.695358521,-0.688586622,-0.238090314,-0.893031142,-0.573690701,-0.26513651,-0.893790389,0.242867234,-1.118007742,-0.647887898,1.291614603,-0.346157095,0.718252531,-0.738769227,-0.100653209,-0.590028948,1.500046424,0.033288134,-0.534087952
37001020200,37,1,20200,0.293854334,1.626916507,-0.217369596,-0.165189378,-0.17636014,1.567374684,0.30252158,0.322267344,-0.568422571,-0.175163337,-0.25404015,-0.486403576,-0.600650189,2.653270274,-0.186275722,-0.5930813,0.595943855,-0.198373273,-0.161613223,-0.686277036,-0.261575194,-0.20939538,-0.703276356,-0.223279024,-0.763617476,0.846229438,-0.786882058,-0.652788244,1.866353446,-0.824760817,-0.650571244,-1.483515644,-0.100653209,-0.590028948,1.500046424,-0.702276162,-0.534087952
37001020301,37,1,20301,-0.198821416,0.461298363,-0.217369596,-0.165189378,-0.17636014,1.278522511,-0.241154844,1.205251227,-0.568422571,-0.175163337,-0.25404015,0.963056392,1.007309629,1.723920051,-0.186275722,0.042585358,0.071032439,-0.118155796,0.17239706,-0.170451961,-0.340558434,-0.028572246,0.11946542,-0.200761274,-0.49072874,1.302117988,-0.616461905,-0.651483453,0.248068323,-1.080163762,0.634767512,0.287281248,-0.100653209,-0.590028948,1.500046424,-0.399877507,-0.534087952
37001020302,37,1,20302,-0.047936555,-0.160451004,-0.217369596,-0.165189378,-0.17636014,-0.076420192,0.882098078,-0.21308345,0.070190579,-0.175163337,0.932442732,-0.486403576,0.346826954,-0.423697563,-0.186275722,1.404579329,-0.174726346,-0.21440348,-0.814153574,-0.459586934,-0.348447777,-0.51981624,-0.714432888,-0.174397773,-0.183246725,1.575774647,-0.37228682,-0.632553096,0.166215641,-0.98216154,0.38238912,0.287281248,-0.100653209,-0.590028948,1.500046424,-0.260937585,-0.534087952
37001020400,37,1,20400,-0.122602688,0.128432372,-0.217369596,-0.165189378,-0.17636014,0.745434924,0.187739652,-0.330033827,-0.393852093,-0.175163337,-0.25404015,-0.486403576,-0.600650189,1.882477076,0.259755379,-0.320042317,-0.485452709,-0.331998365,-0.241553501,-0.389069933,-0.538244568,0.667581692,-0.610806916,-0.241508614,-0.269102536,0.946099566,-1.072767134,-0.639838707,-0.471543714,-1.445138087,-0.016773157,0.317602577,-0.100653209,-0.590028948,1.500046424,-0.653238542,-0.534087952
37001020501,37,1,20501,-0.462924042,-0.216872737,-0.217369596,-0.165189378,-0.17636014,-0.55993044,-0.284495961,0.2878595,-0.285727345,-0.175163337,-0.25404015,-0.486403576,-0.600650189,-0.423697563,-0.186275722,-0.5930813,-0.389921498,-0.328751883,0.62425591,0.139482204,-0.203093649,-0.241413509,-1.193079076,-0.314227281,0.465220391,0.127003055,0.459751424,-0.628409891,-0.116900979,0.177580111,-1.067005777,0.111697933,-0.100653209,-0.590028948,1.500046424,-0.130170599,-0.534087952
37001020502,37,1,20502,0.020864523,0.450943255,-0.217369596,-0.165189378,-0.17636014,0.931396385,-0.473716282,0.273562079,-0.568422571,-0.175163337,-0.25404015,-0.486403576,-0.232463499,0.559814851,-0.186275722,-0.5930813,-0.271473366,-0.273479925,0.245870014,-0.582883029,-0.381719701,-0.15380967,-0.079801383,-0.274691347,-0.52442788,0.445199599,-0.398890285,-0.647450993,0.126935424,-1.0730883,0.362218125,0.125851698,-0.100653209,-0.590028948,1.500046424,-0.571509176,-0.534087952
37001020601,37,1,20601,-0.227223514,-0.24600534,-0.217369596,-0.165189378,-0.17636014,-0.521028155,-0.305383233,0.98281865,0.519717154,-0.175163337,-0.25404015,-0.486403576,0.475627385,-0.423697563,-0.186275722,-0.5930813,0.097066484,-0.13858041,1.45769695,0.361724494,-0.029388859,-0.442570968,-0.173847695,-0.325438612,0.134955004,-0.500527488,0.461050618,-0.633863671,0.23886391,1.728837911,-1.623576533,0.91576534,-0.100653209,-0.590028948,1.500046424,1.455379104,-0.534087952
37001020602,37,1,20602,-0.462924042,0.118171469,-0.217369596,-0.165189378,-0.17636014,0.006680645,0.225647524,-0.12609468,0.155655536,-0.175163337,-0.25404015,-0.486403576,0.115534516,1.489398611,-0.186275722,1.671924246,0.18965622,-0.096354737,1.078560395,-0.328713959,-0.19123942,-0.166346221,0.187191344,-0.29473001,-0.618812148,-0.070451614,-0.334466851,-0.639991836,0.868672016,0.718872538,-0.186536602,-0.449668432,-0.100653209,-0.590028948,1.500046424,1.07942402,-0.534087952
37001020701,37,1,20701,-0.077183293,0.299128775,-0.217369596,-0.165189378,-0.17636014,0.024114234,0.179302541,0.043202036,0.915592749,-0.175163337,-0.25404015,0.572116332,-0.013515147,1.928864132,-0.186275722,-0.128863021,0.080059256,0.087849431,0.339181571,0.355252344,0.09358615,-0.705545926,-0.122640058,-0.320921417,-0.456443933,-0.786836522,0.600382884,-0.645481083,0.717405559,0.46475633,1.007513179,-0.191908397,-0.100653209,1.693570123,1.500046424,0.409243218,2.357284094
