GEOID,STATEFP,COUNTYFP,TRACTCE,ParksRec_PerSqMi,TransitStops_PerSqMi,RedlinedAreas_PerSqMi,Brownfields_PerSqMi,Colleges_PerSqMi,MedFacilities_PerSqMi,GroceryStores_PerSqMi,Gas_Stations_PerSqMi,HazWasteFacilit_PerSqMi,Hospitals_PerSqMi,NPDES_PerSqMi,Fire_Stations_PerSqMi,Pharmacies_PerSqMi,Nursing_Homes_PerSqMi,PubLibraries_PerSqMi,PubSchools_PerSqMi,RegUndergStorage_PerSqMi,Jobs_PerSqMi,Pct_Commute_LessThan15Mins,NEAR_REC,NEAR_BRWN,NEAR_HAZ,NEAR_GROC,NEAR_RED,NEAR_MED,NEAR_HOSPITALS,NEAR_LIBRARY,NEAR_INTST,Percent_Impervious,IsoIndex_BW_2020,SimpsonIndex_DivHouseStock,Pct_Pop_hasAccessFiber,Percent_Pop_NoProvider,Interstate_Present,Transit_Route_Indicator,Overall_SelfRespRate,STREETCON
37001020100,37,1,20100,1.722158439,14.35132032,0,0,0,5.740528129,1.722158439,1.722158439,1.722158439,0,0,0.574052813,1.148105626,1.148105626,0.574052813,0.574052813,29.85074627,3648.105626,40.04,0.00398195,0.050249272,0.00356862,0.00659897,0.309218842,0.000981974,0.064074243,0.009197624,0.00338937,73.36924076,0.379700633,0.61786391,27.35436334,0,0,1,66.5,0
37001020200,37,1,20200,1.494768311,17.18983558,0,0,0,5.979073244,2.989536622,1.494768311,0,0,0,0,0,1.494768311,0,0,17.18983558,728.6995516,27.33,0.004044628,0.04768654,0.013168939,0.005668363,0.335281022,0.002625248,0.088120549,0.017055235,0.001277327,85.85518003,0.272765459,0.339586851,1.898454746,0,0,1,57.5,0
37001020301,37,1,20301,0.521648409,6.781429317,0,0,0,5.21648409,1.564945227,2.608242045,0,0,0,0.521648409,2.086593636,1.043296818,0,0.521648409,9.389671362,1058.94627,32.28,0.018043212,0.039067679,0.015708245,0.011576801,0.349301491,0.006070134,0.106289463,0.021099304,0.00183969,50.69867373,0.215700382,0.600891699,62.42542451,0,0,1,61.2,0
37001020302,37,1,20302,0.819672131,1.229508197,0,0,0,1.639344262,4.508196721,0.819672131,0.819672131,0,0.409836066,0,1.229508197,0,0,1.639344262,5.737704918,662.704918,17.65,0.010196598,0.038206773,0.008809689,0.005588244,0.365716482,0.009951718,0.117195735,0.026893578,0.00999865,48.92046154,0.237597171,0.54958406,62.42542451,0,0,1,62.9,0
37001020400,37,1,20400,0.672193592,3.80909702,0,0,0,3.80909702,2.688774367,0.672193592,0.224064531,0,0,0,0,1.120322653,0.224064531,0.224064531,1.120322653,178.5794309,26.14,0.012110305,0.017495643,0.025484357,0.006332423,0.323930535,0.008867893,0.092100759,0.010271183,0.00685856,35.0654304,0.134153602,0.468435773,63.46182691,0,0,1,58.1,0
37001020501,37,1,20501,0,0.725689405,0,0,0,0.362844703,1.45137881,1.45137881,0.362844703,0,0,0,0,0,0,0,2.539912917,191.9448476,38.98,0.026454279,0.054068201,0.012719308,0.002150894,0.278652925,0.018137821,0.059456609,0.046637842,0.011784365,42.76988208,0.496720051,0.254927175,56.42387456,0,0,1,64.5,0
37001020502,37,1,20502,0.955566173,6.688963211,0,0,0,4.300047778,0.955566173,1.433349259,0,0,0,0,0.477783087,0.477783087,0,0,4.300047778,419.4935499,33.37,0.006850559,0.034576052,0.013949531,0.010145786,0.303269611,0.005644724,0.072137967,0.026262278,0.003577675,48.06711674,0.217281264,0.545483368,56.90765927,0,0,1,59.1,0
37001020601,37,1,20601,0.465549348,0.465549348,0,0,0,0.465549348,1.396648045,2.327746741,1.396648045,0,0,0,1.396648045,0,0,0,9.776536313,974.8603352,51.34,0.032485543,0.07302333,0.009894447,0.009470402,0.271672293,0.013968625,0.034447101,0.046668672,0.009433793,50.49871206,0.843319992,0.141778298,83.90741251,0,0,1,83.9,0
37001020602,37,1,20602,0,3.717472119,0,0,0,1.85873606,2.788104089,0.92936803,0.92936803,0,0,0,0.92936803,0.92936803,0,1.85873606,11.15241636,1148.698885,45.72,0.01374826,0.055361766,0.01377348,0.012063168,0.290792722,0.004453238,0.051587281,0.027791046,0.006792562,64.18100596,0.617661859,0.433923462,37.23601334,0,0,1,79.3,0
37001020701,37,1,20701,0.761904762,5.333333333,0,0,0,1.904761905,2.666666667,1.142857143,1.904761905,0,0,0.380952381,0.761904762,1.142857143,0,0.380952381,9.523809524,1907.047619,34.75,0.0323099,0.086442689,0.006201481,0.009838145,0.274484883,0.006502938,0.023036584,0.049975026,0.004426704,60.89481115,0.56088428,0.676669583,46.0464161,0,1,1,71.1,0.444444448
37001020702,37,1,20702,0.341997264,1.70998632,0,0,0,0.683994528,0.683994528,0.683994528,1.367989056,0,0,0,0,0,0,0.341997264,6.83994528,584.131327,41.79,0.023268391,0.083263323,0.005784534,0.007047851,0.293289909,0.013796493,0.039864583,0.039960739,0.008871675,53.00876498,0.382040863,0.667636501,59.12222004,0,1,1,64.9,0.333333343
37001020801,37,1,20801,0,0.869943454,0,0,0,0,1.304915181,0.65245759,1.087429317,0,0,0.217485863,0,0,0,0,3.914745542,1023.705959,30.66,0.034292967,0.092461994,0.006431996,0.019539884,0.306857624,0.026377154,0.053615406,0.046337645,0.018377268,30.92675507,0.434442391,0.57500267,66.50887574,0,1,1,66.3,0.25
37001020802,37,1,20802,1.096491228,8.771929825,0,0,0,4.385964912,4.934210526,2.74122807,1.096491228,0,0,0.548245614,0,0,0,0.548245614,15.89912281,1239.035088,24.2,0.006097103,0.060782921,0.00534619,0.004594682,0.327283397,0.005136419,0.076459459,0.017613334,0.002422108,76.36363506,0.273077144,0.547337787,9.587583542,0,0,1,59.4,0
37001020901,37,1,20901,0.328299409,0.656598818,0,0,0,1.641497045,3.282994091,1.313197636,1.313197636,0,0,0.328299409,0.984898227,0,0.328299409,0,7.550886408,783.6506894,32.72,0.022515717,0.07116778,0.006947168,0.015848013,0.338932047,0.012029764,0.085249929,0.021128989,0.013427377,40.33242762,0.503216888,0.400568624,60.31477528,0,1,1,69.9,0.272727281
37001020902,37,1,20902,0.252589038,0,0,0,0,0.252589038,0.252589038,0,0,0,0,0,0,0,0,0,1.010356151,33.08916393,20.66,0.045400735,0.080126048,0.025966911,0.022358377,0.345145582,0.006999153,0.093154729,0.037895437,0.028529622,17.23603755,0.658775192,0.326405913,26.89711045,0,0,0,77.2,0
37001021000,37,1,21000,0,0,0,0,0,5.617977528,4.012841092,1.605136437,1.605136437,0,0,0,1.605136437,1.605136437,0,0,9.63081862,1138.844302,30.58,0.014425289,0.051375484,0.004326447,0.004260572,0.352246912,0.001185268,0.100476934,0.007688152,0.0070365,74.64514375,0.295731567,0.651881013,16.28437117,0,0,0,59.4,0
37001021101,37,1,21101,0.644329897,0,0,0,0,1.288659794,0.966494845,0.966494845,0.322164949,0,0,0,0.644329897,0,0,0.966494845,1.610824742,437.5,37.56,0.00390628,0.027755828,0.005435932,0.009765555,0.378726938,0.010272927,0.126154921,0.024203215,0.019302823,36.52628064,0.400687603,0.545716299,12.25743855,0,1,1,69.3,0.380952388
37001021102,37,1,21102,0,0.479041916,0,0,0,0.479041916,0.479041916,1.19760479,0.479041916,0,0.479041916,0,0,0.239520958,0,0.479041916,3.592814371,272.0958084,14.74,0.033205164,0.0517554,0.013356156,0.015283575,0.376270295,0.01467073,0.122816563,0.033320988,0.023705627,26.8653065,0.452571704,0.524098383,80.11203117,0,1,1,71.8,0.208333328
37001021201,37,1,21201,0.147470875,0.147470875,0,0.073735437,0.073735437,0.147470875,0.589883498,0.442412624,0.073735437,0,0.073735437,0.073735437,0.073735437,0,0,0.147470875,1.474708745,146.7335201,18.67,0.01111116,0.023706417,0.031469795,0.006012515,0.402077274,0.023816317,0.15574546,0.061335021,0.039896581,14.51706141,0.203949517,0.48759872,57.6885084,0,1,1,56.9,0.238095239
37001021204,37,1,21204,0,0,0,0,0,0.077742362,0,0.077742362,0,0,0,0,0,0.077742362,0,0.077742362,0.621938895,160.2270077,17.18,0.048404124,0.052259987,0.03120425,0.019537761,0.379657818,0.008291382,0.188322463,0.067633008,0.045725827,9.671464562,0.435952951,0.442222754,58.16571727,0.457442825,1,1,64.4,0.5
37001021205,37,1,21205,0,0.442967885,0,0,0,0.88593577,3.100775194,2.214839424,0.442967885,0,0,0.221483942,1.107419712,0,0,0.442967885,5.980066445,1170.76412,29.37,0.016736931,0.072745085,0.007032132,0.002752877,0.344378538,0.009086486,0.227078745,0.024327194,0.005933255,38.52202594,0.45615562,0.620996252,13.42455539,0.057527817,1,1,69.6,0.313725501
37001021206,37,1,21206,0.800320128,0.200080032,0,0,0,0.200080032,0,0.200080032,0.200080032,0,0.200080032,0.200080032,0,0,0.200080032,0.200080032,0.600240096,330.5322129,30.92,0.020050985,0.045997944,0.015923173,0.01772025,0.376830215,0.03244521,0.197709547,0.039164398,0.037749751,24.07215387,0.461794548,0.567381347,5.429108373,0,0,1,67.2,0
37001021701,37,1,21701,0,3.046922608,0,0,0,2.437538087,0,0,0,0,0,0,0,1.218769043,0,0,0.609384522,486.2888483,45.09,0.024666914,0.11143063,0.01551748,0.014328457,0.225181711,0.004741683,0.040850624,0.09311898,0.005429278,47.23670483,0.812456284,0.492749986,0,0,0,1,82.1,0
37001021702,37,1,21702,0.938526513,0.938526513,0,0,0,1.40778977,2.81557954,0.938526513,1.877053027,0,0,0.469263257,0.938526513,0.938526513,0,0,8.916001877,984.0450493,56.08,0.038309406,0.091678947,0.009069709,0.009642638,0.247021168,0.001732856,0.031608052,0.071286127,0.011959021,60.84210277,0.685955861,0.395223649,42.20391396,0,0,1,56.4,0
37003040400,37,3,40400,0.100376412,0,0,0,0,0.702634881,0.803011292,0.602258469,0.050188206,0,0.100376412,0.050188206,0.250941029,0.150564617,0.050188206,0.200752823,1.104140527,244.6173149,34.42,0.003720521,0.222356117,0.020751329,0.002405848,0.735825606,0.002338876,0.225452683,0.00348775,0.673631526,13.98590505,0.66377334,0.567093606,0,0,0,0,60.9,0
