GEOID,STATEFP,COUNTYFP,TRACTCE,Connectivity_PCA1,Connectivity_PCA2,Connectivity_PCA3,Connectivity_PCA4,stnd_Connectivity_PCA1,stnd_Connectivity_PCA2,stnd_Connectivity_PCA3,stnd_Connectivity_PCA4
37001020100,37,1,20100,-0.416473567,0.010202224,-0.424211667,1.503267165,89.58816082,100.2550556,89.39470833,137.5816791
37001020200,37,1,20200,-0.477280724,-0.863865904,-0.533540408,1.781157238,88.0679819,78.40335241,86.66148979,144.5289309
37001020301,37,1,20301,-0.34399056,0.375933202,-0.431425801,1.626819272,91.40023601,109.39833,89.21435497,140.6704818
37001020302,37,1,20302,-0.342905975,0.456468431,-0.416265729,1.578179904,91.42735064,111.4117108,89.59335678,139.4544976
37001020400,37,1,20400,-0.343726427,0.247302543,-0.457887112,1.714684539,91.40683933,106.1825636,88.55282219,142.8671135
37001020501,37,1,20501,-0.354867509,0.426714187,-0.408850934,1.537208293,91.12831228,110.6678547,89.77872666,138.4302073
37001020502,37,1,20502,-0.357266157,0.17940495,-0.456453996,1.691322353,91.06834607,104.4851238,88.5886501,142.2830588
37001020601,37,1,20601,-0.283039155,1.829129304,-0.204462757,0.960135815,92.92402114,145.7282326,94.88843107,124.0033954
37001020602,37,1,20602,-0.386931677,0.790378398,-0.298780828,1.129127162,90.32670807,119.75946,92.53047929,128.2281791
37001020701,37,1,20701,2.220355055,0.140906604,0.016842433,0.810586775,155.5088764,103.5226651,100.4210608,120.2646694
37001020702,37,1,20702,1.88258159,0.132977723,-0.07927717,1.057905305,147.0645398,103.3244431,98.01807076,126.4476326
37001020801,37,1,20801,1.627876013,0.371076582,-0.100178617,1.072233613,140.6969003,109.2769146,97.49553458,126.8058403
37001020802,37,1,20802,-0.459435715,-0.638623583,-0.507816149,1.720637398,88.51410713,84.03441042,87.30459628,143.015935
37001020901,37,1,20901,1.690840495,0.421265975,-0.063742474,0.957747917,142.2710124,110.5316494,98.40643816,123.9436979
37001020902,37,1,20902,-0.707277333,0.010521392,0.26706491,-0.745193285,82.31806667,100.2630348,106.6766228,81.37016787
37001021000,37,1,21000,-0.741590643,-1.019381118,0.096210752,-0.227410792,81.46023392,74.51547204,102.4052688,94.3147302
37001021101,37,1,21101,1.939199667,-0.506733082,-0.069658902,0.935091744,148.4799917,87.33167294,98.25852746,123.3772936
37001021102,37,1,21102,1.525022137,0.891808442,-0.05650784,0.93412634,138.1255534,122.2952111,98.58730399,123.3531585
37001021201,37,1,21201,1.564002269,-0.223383408,-0.200051864,1.356859217,139.1000567,94.4154148,94.99870339,133.9214804
37001021204,37,1,21204,2.859894927,0.139536666,-10.09169226,-2.434525521,171.4973732,103.4884167,-152.2923064,39.13686199
37001021205,37,1,21205,1.777728158,-0.421773777,-1.368366991,0.548283727,144.443204,89.45565558,65.79082522,113.7070932
37001021206,37,1,21206,-0.463454836,-0.342246077,-0.443006968,1.500799041,88.4136291,91.44384807,88.92482581,137.519976
37001021701,37,1,21701,-0.465692804,0.268137217,-0.316333199,1.078837439,88.35767991,106.7034304,92.09167003,126.970936
37001021702,37,1,21702,-0.390795306,-0.207105692,-0.497322793,1.780349286,90.23011735,94.8223577,87.56693018,144.5087321
37003040400,37,3,40400,-0.775859377,-1.234721587,0.090991246,-0.257285792,80.60351556,69.13196033,102.2747811,93.5678552
37003040700,37,3,40700,-0.766289509,-0.52411662,0.224756588,-0.686456684,80.84276227,86.8970845,105.6189147,82.83858289
37013930300,37,13,930300,-0.774734316,-1.482912034,0.039241767,-0.084613736,80.6316421,62.92719915,100.9810442,97.88465661
37013930501,37,13,930501,-0.749480544,-0.944314084,0.120362515,-0.318127705,81.2629864,76.39214791,103.0090629,92.04680737
37019020105,37,19,20105,-0.590513203,0.985178225,0.333854495,-0.805449537,85.23716993,124.6294556,108.3463624,79.86376159
37019020107,37,19,20107,-0.660705924,-0.576903141,0.09514815,-0.112644399,83.48235191,85.57742149,102.3787038,97.18389002
37019020108,37,19,20108,-0.658487501,-0.406994936,0.127210473,-0.215616406,83.53781247,89.82512661,103.1802618,94.60958984
37019020201,37,19,20201,-0.565478338,0.994665004,0.307598591,-0.684192697,85.86304155,124.8666251,107.6899648,82.89518257
37019020304,37,19,20304,-0.57190314,0.853836804,0.286187006,-0.622226077,85.7024215,121.3459201,107.1546752,84.44434807
37019020313,37,19,20313,-0.577982483,-0.334626728,0.051293705,0.146154641,85.55043793,91.63433181,101.2823426,103.653866
37019020314,37,19,20314,-0.591635495,-1.348423147,-0.139544851,0.758438448,85.20911263,66.28942132,96.51137874,118.9609612
37019020315,37,19,20315,-0.588485197,-1.259530046,-0.125010444,0.7147093,85.28787007,68.51174884,96.87473891,117.8677325
37019020504,37,19,20504,-0.756892475,-0.937078001,0.130179096,-0.360783777,81.07768814,76.57304999,103.2544774,90.98040558
37019020510,37,19,20510,-0.667549305,-1.24002864,-0.032029319,0.298491921,83.31126737,68.99928401,99.19926703,107.462298
37019020511,37,19,20511,-0.764353539,-1.685379905,-0.01362814,0.10449408,80.89116153,57.86550238,99.6592965,102.612352
37019020514,37,19,20514,-0.688814693,-0.168423807,0.209880619,-0.530702545,82.77963266,95.78940483,105.2470155,86.73243639
37019020516,37,19,20516,-0.657040782,0.208034614,0.250680896,-0.62191713,83.57398044,105.2008654,106.2670224,84.45207175
37019020517,37,19,20517,-0.713279687,-1.278563804,0.011618124,0.091259362,82.16800783,68.03590491,100.2904531,102.2814841
37019020518,37,19,20518,-0.709898333,-1.027483382,0.058881878,-0.06038102,82.25254166,74.31291545,101.472047,98.49047451
37021000100,37,21,100,2.012330572,-2.078707432,-0.319127765,1.733957935,150.3082643,48.03231421,92.02180588,143.3489484
37021000200,37,21,200,1.801784568,-1.664150004,-0.278887146,1.544621293,145.0446142,58.39624991,93.02782136,138.6155323
37021000300,37,21,300,-0.477458388,-0.612191339,-0.482148877,1.610971932,88.0635403,84.69521653,87.94627808,140.2742983
37021000400,37,21,400,-0.393103293,0.187557121,-0.414448511,1.503127031,90.17241768,104.688928,89.63878722,137.5781758
37021000500,37,21,500,-0.316802677,1.115876983,-0.311528112,1.267738415,92.07993308,127.8969246,92.2117972,131.6934604
37021000600,37,21,600,1.536372613,-0.2164816,-0.19884593,1.340850353,138.4093153,94.58796,95.02885176,133.5212588
37021000700,37,21,700,1.951597127,0.719417008,-0.037694586,1.015327653,148.7899282,117.9854252,99.05763536,125.3831913
37021000800,37,21,800,-0.355148296,0.685987619,-0.355797664,1.361386132,91.12129261,117.1496905,91.10505839,134.0346533
37021000900,37,21,900,0.802712716,-0.010012118,-0.316958735,1.540748205,120.0678179,99.74969705,92.07603162,138.5187051
37021001000,37,21,1000,1.667329558,0.594822691,-0.099086702,1.122889117,141.683239,114.8705673,97.52283245,128.0722279
37021001100,37,21,1100,1.637124692,1.250620846,-0.002907261,0.822407937,140.9281173,131.2655211,99.92731848,120.5601984
37021001200,37,21,1200,1.774677549,0.216571695,-0.059487387,0.942563655,144.3669387,105.4142924,98.51281533,123.5640914
37021001300,37,21,1300,-0.300648149,0.825355479,-0.388808832,1.545509116,92.48379628,120.633887,90.27977921,138.6377279
37021001401,37,21,1401,-0.473554327,-0.782944808,-0.521276138,1.745727347,88.16114183,80.4263798,86.96809654,143.6431837
37021001402,37,21,1402,1.655602096,-1.383682661,-0.261714165,1.456458876,141.3900524,65.40793347,93.45714587,136.4114719
37021001500,37,21,1500,-0.344900126,0.406505873,-0.424183173,1.60161837,91.37749684,110.1626468,89.39542068,140.0404593
37021001601,37,21,1601,-0.372436443,0.89557522,-0.293702903,1.132272953,90.68908892,122.3893805,92.65742742,128.3068238
37021001802,37,21,1802,-0.466554258,-0.072140215,-0.384576977,1.303320316,88.33614354,98.19649462,90.38557557,132.5830079
37021001900,37,21,1900,1.794467057,-0.212191812,-0.050281983,0.840827534,144.8616764,94.6952047,98.74295043,121.0206884
37021002000,37,21,2000,1.961367982,0.243410917,-0.074298072,1.0906979,149.0341995,106.0852729,98.14254821,127.2674475
37021002102,37,21,2102,1.191406195,0.390825936,-0.198248357,1.288764472,129.7851549,109.7706484,95.04379107,132.2191118
37021002203,37,21,2203,1.911146061,-0.710952991,-0.155539829,1.234406624,147.7786515,82.22617521,96.11150426,130.8601656
37021002205,37,21,2205,-0.744327422,-0.370866876,0.23120208,-0.677562893,81.39181444,90.72832811,105.780052,83.06092769
