GEOID,STATEFP,COUNTYFP,TRACTCE,Density_PCA1,Density_PCA2,Density_PCA3,Density_PCA4,Density_PCA5,Density_PCA6,Density_PCA7,Density_PCA8,Density_PCA9,stnd_Density_PCA1,stnd_Density_PCA2,stnd_Density_PCA3,stnd_Density_PCA4,stnd_Density_PCA5,stnd_Density_PCA6,stnd_Density_PCA7,stnd_Density_PCA8,stnd_Density_PCA9
37001020100,37,1,20100,0.942687304,0.863270599,-0.004299216,0.749212955,0.844938078,-0.993040614,0.097522684,1.658563861,-0.897724204,123.5671826,121.581765,99.8925196,118.7303239,121.123452,75.17398466,102.4380671,141.4640965,77.55689491
37001020200,37,1,20200,0.222747168,1.396719194,-0.158373466,0.493145759,0.131304251,-1.14424395,-0.128763733,1.514272954,-2.747228801,105.5686792,134.9179798,96.04066334,112.328644,103.2826063,71.39390125,96.78090668,137.8568238,31.31927998
37001020301,37,1,20301,0.283213684,1.561135321,0.379213482,0.184456988,0.30420909,-1.018538772,-0.405579106,1.184197995,-0.228753489,107.0803421,139.028383,109.4803371,104.6114247,107.6052273,74.5365307,89.86052234,129.6049499,94.28116278
37001020302,37,1,20302,0.099171955,-0.065454272,0.275169924,-0.263109045,-0.10925986,0.999129376,-0.787942849,-0.179953006,0.039909201,102.4792989,98.36364319,106.8792481,93.42227387,97.2685035,124.9782344,80.30142877,95.50117485,100.99773
37001020400,37,1,20400,-0.230070988,0.817540403,-0.116019611,0.348660906,-0.516054345,-0.528995348,0.136783357,1.391705088,-1.187972654,94.24822529,120.4385101,97.09950973,108.7165226,87.09864139,86.77511629,103.4195839,134.7926272,70.30068366
37001020501,37,1,20501,-0.571938954,-0.111456349,0.277631241,0.094579277,-0.177551234,0.222248076,0.051670085,-0.542209634,-0.141949735,85.70152615,97.21359128,106.940781,102.3644819,95.56121915,105.5562019,101.2917521,86.44475915,96.45125662
37001020502,37,1,20502,-0.255711167,0.62414482,-0.070366546,0.210808378,-0.099749187,-0.372248413,0.147524625,0.350094718,-1.10642347,93.60722083,115.6036205,98.24083634,105.2702095,97.50627032,90.69378969,103.6881156,108.752368,72.33941326
37001020601,37,1,20601,-0.103044081,0.135787684,0.366586241,0.324390974,-0.130553367,0.57641744,-0.014010455,-0.869384942,0.105165154,97.42389797,103.3946921,109.164656,108.1097743,96.73616582,114.410436,99.64973863,78.26537644,102.6291289
37001020602,37,1,20602,0.090840183,0.790794812,0.159763708,-0.572068307,-0.064013339,0.365462382,0.007843127,0.85449386,-0.763114567,102.2710046,119.7698703,103.9940927,85.69829233,98.39966652,109.1365595,100.1960782,121.3623465,80.92213583
37001020701,37,1,20701,0.192518474,0.707442502,-0.023431137,0.338347152,0.278675595,-0.774863873,-0.25293267,0.995669288,-0.344430251,104.8129619,117.6860625,99.41422159,108.4586788,106.9668899,80.62840317,93.67668324,124.8917322,91.38924371
37001020702,37,1,20702,-0.413944241,-0.340410026,-0.069073255,-0.057021274,0.008575991,0.305482572,0.311617393,-0.407798672,-0.188698169,89.65139398,91.48974935,98.27316863,98.57446816,100.2143998,107.6370643,107.7904348,89.8050332,95.28254577
37001020801,37,1,20801,-0.492830232,-0.392526474,0.02592684,0.137516837,0.142139181,-0.101499793,0.131414166,-0.418048144,0.342658056,87.67924419,90.18683816,100.648171,103.4379209,103.5534795,97.46250518,103.2853542,89.5487964,108.5664514
37001020802,37,1,20802,0.41280365,0.461442194,1.290931621,0.045673356,0.807647256,-0.405943188,-0.663536991,-0.29571269,-0.018212934,110.3200912,111.5360549,132.2732905,101.1418339,120.1911814,89.8514203,83.41157522,92.60718275,99.54467666
37001020901,37,1,20901,0.000309172,-0.041995297,0.514734803,0.552024515,0.06512698,0.111547239,0.093810034,-0.206900585,0.744343354,100.0077293,98.95011757,112.8683701,113.8006129,101.6281745,102.788681,102.3452509,94.82748536,118.6085838
37001020902,37,1,20902,-0.796214581,-0.46222783,-0.321785361,0.04239992,-0.19901773,-0.020385501,0.541264146,-0.194868497,-0.118903308,80.09463547,88.44430425,91.95536597,101.059998,95.02455674,99.49036247,113.5316037,95.12828758,97.02741729
37001021000,37,1,21000,0.325351161,1.814170179,-0.03378974,0.579208732,-1.099087318,-0.571481833,-0.371789189,1.347145854,-0.981295222,108.133779,145.3542545,99.1552565,114.4802183,72.52281705,85.71295418,90.70527027,133.6786463,75.46761945
37001021101,37,1,21101,-0.396746357,-0.033659852,0.148479856,-0.35634108,-0.058092034,0.480385961,0.317012303,-0.170971909,-0.062856872,90.08134108,99.1585037,103.7119964,91.09147301,98.54769914,112.009649,107.9253076,95.72570227,98.4285782
37001021102,37,1,21102,-0.511397139,-0.283783445,-0.283922629,0.081296301,-0.337335762,0.267604298,-0.971790731,0.04235139,-0.26525957,87.21507152,92.90541387,92.90193428,102.0324075,91.56660594,106.6901075,75.70523173,101.0587847,93.36851075
37001021201,37,1,21201,-0.677565289,-0.436223306,-0.207851942,-0.142727924,-0.09365978,0.097121798,0.149510908,-0.119466231,0.057748671,83.06086777,89.09441734,94.80370146,96.43180189,97.65850551,102.4280449,103.7377727,97.01334422,101.4437168
37001021204,37,1,21204,-0.816707882,-0.390658776,-0.343495258,-0.009295794,-0.200990086,-0.023324655,0.498593917,-0.12585324,-0.130623612,79.58230296,90.23353061,91.41261854,99.76760514,94.97524785,99.41688363,112.4648479,96.853669,96.73440969
37001021205,37,1,21205,-0.133512434,0.281938636,0.753574042,0.058343289,0.054479859,0.285700073,-0.270151351,-0.609352724,0.461666188,96.66218915,107.0484659,118.8393511,101.4585822,101.3619965,107.1425018,93.24621623,84.7661819,111.5416547
37001021206,37,1,21206,-0.623386734,-0.695346538,-0.32411674,0.221799811,0.044692946,-0.095073873,0.104746189,0.184500543,0.263650792,84.41533166,82.61633656,91.89708151,105.5449953,101.1173236,97.62315317,102.6186547,104.6125136,106.5912698
37001021701,37,1,21701,-0.619414192,0.629489672,-0.771215452,0.188174988,-0.49784009,-0.891688514,0.298228636,1.379394713,-1.167362745,84.51464521,115.7372418,80.7196137,104.7043747,87.55399774,77.70778716,107.4557159,134.4848678,70.81593138
37001021702,37,1,21702,0.08260418,0.44756833,0.059649135,0.512105745,0.082030519,-0.851177176,-0.163334403,0.844755009,0.280702799,102.0651045,111.1892082,101.4912284,112.8026436,102.050763,78.7205706,95.91663993,121.1188752,107.01757
37003040400,37,3,40400,-0.619062425,-0.1892177,-0.149483985,0.081629824,-0.239086343,0.028857108,0.094965068,-0.005928366,-0.058649588,84.52343936,95.26955751,96.26290037,102.0407456,94.02284142,100.7214277,102.3741267,99.85179086,98.53376029
37003040700,37,3,40700,-0.770475605,-0.398832122,-0.202257315,0.016697586,-0.098614674,-0.018815179,0.431844334,-0.224900342,0.076394295,80.73810988,90.02919696,94.94356713,100.4174396,97.53463314,99.52962052,110.7961084,94.37749146,101.9098574
37013930300,37,13,930300,0.3472762,0.533307836,1.212219226,0.493798717,0.117603849,-0.017121887,-0.322746565,0.417661211,0.909018017,108.681905,113.3326959,130.3054807,112.3449679,102.9400962,99.57195283,91.93133587,110.4415303,122.7254504
37013930501,37,13,930501,-0.706738668,-0.574640346,-0.342289296,0.218369945,-0.288537783,0.09271188,-0.204355273,-0.220061988,-0.132109474,82.33153331,85.63399135,91.44276761,105.4592486,92.78655543,102.317797,94.89111817,94.4984503,96.69726314
