GEOID,STATEFP,COUNTYFP,TRACTCE,Diversity_PCA1,Diversity_PCA2,stnd_Diversity_PCA1,stnd_Diversity_PCA2
37001020100,37,1,20100,-1.07557687,0.214039842,73.11057826,105.3509961
37001020200,37,1,20200,-0.997250977,-1.454597816,75.06872557,63.63505459
37001020301,37,1,20301,-0.86722265,-0.18916061,78.31943376,95.27098476
37001020302,37,1,20302,-0.678950107,-0.34058238,83.02624733,91.4854405
37001020400,37,1,20400,-0.413252231,-0.915207213,89.66869422,77.11981967
37001020501,37,1,20501,0.579627755,-0.837231334,114.4906939,79.06921665
37001020502,37,1,20502,-0.692373618,-0.414097222,82.69065955,89.64756945
37001020601,37,1,20601,1.334625149,-0.356095497,133.3656287,91.09761258
37001020602,37,1,20602,-0.018632276,0.174277285,99.5341931,104.3569321
37001020701,37,1,20701,-0.556284924,1.119463342,86.0928769,127.9865836
37001020702,37,1,20702,-0.721544327,0.596886423,81.96139184,114.9221606
37001020801,37,1,20801,0.062350067,0.50310079,101.5587517,112.5775198
37001020802,37,1,20802,-1.211360319,-0.448019518,69.71599202,88.79951205
37001020901,37,1,20901,0.348678713,-0.14403451,108.7169678,96.39913725
37001020902,37,1,20902,1.324036825,0.164750163,133.1009206,104.1187541
37001021000,37,1,21000,-1.34176572,0.103727945,66.45585701,102.5931986
37001021101,37,1,21101,-0.069473488,0.227510689,98.26316281,105.6877672
37001021102,37,1,21102,0.29284071,0.359125858,107.3210178,108.9781465
37001021201,37,1,21201,0.142786668,-0.464754058,103.5696667,88.38114854
37001021204,37,1,21204,0.808053343,0.068629806,120.2013336,101.7157451
37001021205,37,1,21205,-0.156536378,0.719093066,96.08659054,117.9773267
37001021206,37,1,21206,0.28466504,0.60260663,107.116626,115.0651657
37001021701,37,1,21701,0.626949728,1.154270768,115.6737432,128.8567692
37001021702,37,1,21702,0.271431756,0.231505088,106.7857939,105.7876272
37003040400,37,3,40400,0.9136261,1.28717965,122.8406525,132.1794913
37003040700,37,3,40700,1.916019092,0.322517688,147.9004773,108.0629422
37013930300,37,13,930300,-0.674654317,-0.379205376,83.13364206,90.51986561
37013930501,37,13,930501,0.645569245,0.577351018,116.1392311,114.4337755
37019020105,37,19,20105,0.778666555,0.04446455,119.4666639,101.1116138
37019020107,37,19,20107,0.146757145,1.265281801,103.6689286,131.632045
37019020108,37,19,20108,0.60811014,-0.195765665,115.2027535,95.10585836
37019020201,37,19,20201,0.56470742,0.918136406,114.1176855,122.9534101
37019020304,37,19,20304,0.939308697,1.251388334,123.4827174,131.2847084
37019020313,37,19,20313,1.12380335,-0.683117011,128.0950837,82.92207473
37019020314,37,19,20314,1.586761578,0.135869479,139.6690394,103.396737
37019020315,37,19,20315,0.423769701,1.283017175,110.5942425,132.0754294
37019020504,37,19,20504,0.32256939,0.665919229,108.0642348,116.6479807
37019020510,37,19,20510,0.202824369,1.218249716,105.0706092,130.4562429
37019020511,37,19,20511,0.990677992,1.571380785,124.7669498,139.2845196
37019020514,37,19,20514,1.44506956,0.426990108,136.126739,110.6747527
37019020516,37,19,20516,1.00623264,1.33139747,125.155816,133.2849367
37019020517,37,19,20517,0.598742586,1.158850496,114.9685646,128.9712624
37019020518,37,19,20518,0.421146361,2.144266597,110.528659,153.6066649
37021000100,37,21,100,-0.70556084,0.268892205,82.360979,106.7223051
37021000200,37,21,200,-1.014773782,0.187379527,74.63065545,104.6844882
37021000300,37,21,300,0.373634915,0.961184346,109.3408729,124.0296087
37021000400,37,21,400,0.043804266,1.693883017,101.0951067,142.3470754
37021000500,37,21,500,1.260191807,1.269861317,131.5047952,131.7465329
37021000600,37,21,600,-0.18444075,1.289836501,95.38898126,132.2459125
37021000700,37,21,700,-0.455727764,1.224852609,88.60680591,130.6213152
37021000800,37,21,800,0.547056007,0.231930372,113.6764002,105.7982593
37021000900,37,21,900,-1.191449601,0.624461534,70.21375997,115.6115384
37021001000,37,21,1000,0.18025207,-0.420964694,104.5063017,89.47588265
37021001100,37,21,1100,0.726988232,-0.873361271,118.1747058,78.16596822
37021001200,37,21,1200,0.605964445,0.930899839,115.1491111,123.272496
37021001300,37,21,1300,0.440784882,0.689284895,111.0196221,117.2321224
37021001401,37,21,1401,0.492662622,1.917094974,112.3165656,147.9273744
37021001402,37,21,1402,-0.707823715,0.568676158,82.30440712,114.216904
37021001500,37,21,1500,0.104038956,1.299225645,102.6009739,132.4806411
