GEOID,STATEFP,COUNTYFP,TRACTCE,MEAN_DensityPCA1234,MEAN_Proximity_PCA12,stnd_Diversity_PCA1,MEAN_Connectivity_PSA12,Sum_of_Eigenvalues,Ln_Population,residual_Sum_of_Eigenvalues,SJI_Value
37001020100,37,1,20100,109.0586985,115.9443933,89.23078715,104.204901,418.4387799,8.305978211,18.51391929,118.0118536
37001020200,37,1,20200,98.83216493,106.0297228,69.35189008,99.41543876,373.6292166,8.301521655,-26.2992657,74.41392523
37001020301,37,1,20301,106.2320978,98.96643465,86.79520926,107.6708507,399.6645924,8.255048903,-0.301656661,99.70652375
37001020302,37,1,20302,100.0212817,97.63793456,87.25584391,107.971729,392.8867891,8.224699562,-7.104123688,93.08852795
37001020400,37,1,20400,100.3210467,100.1737794,83.39425694,107.2523346,391.1414176,8.800716629,-8.38138709,91.84590174
37001020501,37,1,20501,97.50284103,102.4747495,96.77995527,107.5012752,404.2588211,8.309676896,4.336966218,104.2193551
37001020502,37,1,20502,98.41131599,103.3029503,86.1691145,106.6062947,394.4896755,8.339978572,-5.407554268,94.73908932
37001020601,37,1,20601,101.0870962,105.486677,112.2316207,114.3860201,433.1914139,8.084870629,33.08686719,132.1896082
37001020602,37,1,20602,102.4166718,107.2528547,101.9455626,107.7112066,419.3262957,7.937374696,19.10188441,118.5838741
37001020701,37,1,20701,103.1027641,104.1222255,107.0397302,119.9293179,434.1940378,8.581106517,34.4927639,133.5573794
37001020702,37,1,20702,97.635362,106.7330429,98.4417762,118.7136716,421.5238526,8.567696174,21.81168064,121.2201853
37001020801,37,1,20801,98.26319566,88.54624563,107.0681357,118.5687975,412.4463745,7.418180823,11.80003319,111.4800366
37001020802,37,1,20802,104.541923,107.9571559,79.25775203,100.7172622,392.4740932,8.674880467,-7.150974044,93.04294809
37001020901,37,1,20901,105.0916673,98.57845789,102.5580525,118.7881995,425.0163771,8.100768243,24.92474984,124.2488334
37001020902,37,1,20902,95.75072571,82.1051652,118.6098374,92.65697302,389.1227013,8.181440696,-10.90336645,89.39231413
37001021000,37,1,21000,102.8012017,111.0242012,84.52452782,88.17392624,386.523857,8.379079889,-13.34159654,87.02020465
37001021101,37,1,21101,99.63113893,102.0385654,101.975465,114.3618714,418.0070408,7.922623574,17.77064178,117.2887325
37001021102,37,1,21102,93.71600754,85.0364304,108.1495821,120.5903067,407.4923268,8.122074375,7.41801419,107.2168504
37001021201,37,1,21201,96.18579696,77.37612616,95.97540762,115.6089138,385.1462446,8.707152175,-14.45259659,85.93933302
37001021204,37,1,21204,95.71567948,67.4060215,110.9585394,40.45758634,314.5378267,8.473241304,-85.25110532,17.06075828
37001021205,37,1,21205,102.4519044,94.21165677,107.0319586,103.3491945,407.0447142,8.872907674,7.58057654,107.3750043
37001021206,37,1,21206,97.44851777,75.26739138,111.0908959,101.5755698,385.3823748,8.630878956,-14.27845086,86.10875621
37001021701,37,1,21701,95.96601949,93.13362325,122.2652562,103.5309291,414.895828,8.101980732,14.80518606,114.4036948
37001021702,37,1,21702,103.5969559,106.2725785,106.2867106,104.2820343,420.4382793,8.886823847,20.98545082,120.4163614
37003040400,37,3,40400,97.0667322,103.4531835,127.5100719,86.39452806,414.4245156,8.818630229,14.91626863,114.511765
37003040700,37,3,40700,96.69733605,74.9284412,127.9817098,89.04933609,388.6568231,8.844192126,-10.83065068,89.46305797
37013930300,37,13,930300,110.2528239,133.012095,86.82675383,85.60613551,415.6978082,8.11939859,15.62132109,115.1976977
37013930501,37,13,930501,94.00652499,96.3895705,115.2865033,88.17775114,393.8603499,8.337827262,-6.038628148,94.12512908
37019020105,37,19,20105,97.39018265,101.6986239,110.2891388,99.51918738,408.8971327,8.790421307,9.365961358,109.1119726
37019020107,37,19,20107,99.14195298,101.6169835,117.6504868,92.15559179,410.5650151,8.14815644,10.51189844,110.2268338
37019020108,37,19,20108,99.78825813,110.0056087,105.1543059,92.78819768,407.7363704,8.135053909,7.672605802,107.4645379
37019020201,37,19,20201,98.49510494,107.0315257,118.5355478,100.3287035,424.390882,8.618304693,24.7198377,124.0494781
37019020304,37,19,20304,95.70092256,69.24688627,127.3837129,99.6618412,391.9933629,9.180293451,-7.22097354,92.97484686
37019020313,37,19,20313,100.6831612,45.2649869,105.5085792,95.5302446,346.9869719,7.852827812,-53.30614754,48.13942366
37019020314,37,19,20314,106.6564962,48.07534924,121.5328882,91.74271847,368.0074521,5.940171253,-33.84001379,67.07766929
37019020315,37,19,20315,105.3182497,82.83334912,121.334836,92.13552258,401.6219573,7.528869257,1.065568541,101.0366722
37019020504,37,19,20504,96.93666026,50.44629179,112.3561078,87.97140527,347.7104651,7.648739789,-52.74850931,48.68193969
37019020510,37,19,20510,99.38827901,68.70216932,117.7634261,89.74302911,375.5969035,7.830822995,-24.71409848,75.95610544
37019020511,37,19,20511,95.29482464,86.89436624,132.0257347,85.2570781,399.4720037,7.608374474,-1.019774122,99.0078804
37019020514,37,19,20514,97.05505838,104.1917398,123.4007459,92.63712234,417.2846664,8.086410275,17.18137089,116.7154416
37019020516,37,19,20516,97.47357201,64.65115127,129.2203764,94.87348498,386.2185846,8.292798858,-13.71698638,86.65499474
37019020517,37,19,20517,96.66548257,54.98933619,121.9699135,88.19396247,361.8186948,7.935587386,-38.40716902,62.63436746
37019020518,37,19,20518,97.15682952,61.35030626,132.067662,89.13199464,379.7067924,7.856706793,-20.58317477,79.97500559
37021000100,37,21,100,153.3410153,123.5379882,94.54164207,108.4278332,479.8484787,7.213768308,79.03601887,176.8926977
37021000200,37,21,200,94.20529419,116.4649462,89.65757181,108.7710545,409.0988666,7.230563153,8.300055293,108.074972
37021000300,37,21,300,96.00498165,115.5862637,116.6852408,100.2448333,428.5213194,7.830822995,28.21031743,127.4453021
37021000400,37,21,400,85.9827696,122.8375317,121.721091,105.5195772,436.0609695,8.30201781,36.13289037,135.1530284
37021000500,37,21,500,102.8004685,109.4230583,131.6256641,110.9705288,454.8197196,8.157083785,54.77385786,153.2884849
37021000600,37,21,600,95.4757918,123.633259,113.8174469,115.3868465,448.3133442,7.508787171,47.74063541,146.4459913
37021000700,37,21,700,103.6968641,120.4589184,109.6140606,122.804045,456.573888,7.362010551,55.88189925,154.3664781
37021000800,37,21,800,102.5034621,113.6151213,109.7373297,108.3526737,434.2085869,8.094378445,34.11176679,133.1867142
37021000900,37,21,900,103.0211707,121.1148867,92.91264916,112.6030629,429.6517695,8.022240917,29.49632589,128.6964362
37021001000,37,21,1000,100.6715639,107.6620304,96.9910922,120.5372167,425.8619032,8.507546814,26.10084998,125.3930397
37021001100,37,21,1100,104.3046302,114.0438881,98.17033701,123.1702888,439.6891441,8.574329383,39.98236271,138.8981097
37021001200,37,21,1200,104.6255049,107.2307438,119.2108036,117.9645345,449.0315868,8.485908901,49.25294925,147.9172938
37021001300,37,21,1300,93.9586158,101.1793963,114.1258722,110.5087976,419.7726819,8.413387023,19.93510848,119.3945026
37021001401,37,21,1401,96.98440516,98.30798663,130.12197,99.79970046,425.2140622,8.48301574,25.43307352,124.7433722
37021001402,37,21,1402,103.9549984,104.6023732,98.26065554,109.1666509,415.9846781,7.886081402,15.71858259,115.2923216
37021001500,37,21,1500,100.5745562,98.61991047,117.5408075,107.7440059,424.4792801,7.919719761,24.24052129,123.58316
