GEOID,STATEFP,COUNTYFP,TRACTCE,Proximity_PCA1,Proximity_PCA2,stnd_Proximity_PCA1,stnd_Proximity_PCA2
37001020100,37,1,20100,0.940756431,0.334795036,123.5189108,108.3698759
37001020200,37,1,20200,0.593684071,-0.111306244,114.8421018,97.2173439
37001020301,37,1,20301,0.201004394,-0.283689623,105.0251099,92.90775944
37001020302,37,1,20302,0.295936605,-0.484901841,107.3984151,87.87745399
37001020400,37,1,20400,0.34034074,-0.326438391,108.5085185,91.83904022
37001020501,37,1,20501,0.255322396,-0.057342434,106.3830599,98.56643915
37001020502,37,1,20502,0.451751853,-0.187515827,111.2937963,95.31210432
37001020601,37,1,20601,0.261186476,0.177747682,106.5296619,104.4436921
37001020602,37,1,20602,0.465767256,0.114461118,111.6441814,102.861528
37001020701,37,1,20701,0.382897269,-0.053119227,109.5724317,98.67201931
37001020702,37,1,20702,0.413665871,0.124977557,110.3416468,103.1244389
37001020801,37,1,20801,-0.314070761,-0.602229589,92.14823098,84.94426028
37001020802,37,1,20802,0.706212732,-0.069640256,117.6553183,98.25899359
37001020901,37,1,20901,0.148349005,-0.262072374,103.7087251,93.44819066
37001020902,37,1,20902,-0.554230771,-0.877356014,86.14423073,78.06609966
37001021000,37,1,21000,0.749882707,0.132053392,118.7470677,103.3013348
37001021101,37,1,21101,0.315034499,-0.151949267,107.8758625,96.20126832
37001021102,37,1,21102,-0.311686877,-0.885398692,92.20782809,77.86503271
37001021201,37,1,21201,-0.70614051,-1.103769397,82.34648725,72.40576507
37001021204,37,1,21204,-1.217205128,-1.390313152,69.56987181,65.24217119
37001021205,37,1,21205,-0.097994074,-0.365073385,97.55014816,90.87316538
37001021206,37,1,21206,-0.941739009,-1.036869681,76.45652479,74.07825797
37001021701,37,1,21701,-0.224233032,-0.325077109,94.39417421,91.87307229
37001021702,37,1,21702,0.233970968,0.267835313,105.8492742,106.6958828
37003040400,37,3,40400,-0.541637104,0.817891783,86.4590724,120.4472946
37003040700,37,3,40700,-1.575543963,-0.430180741,60.61140092,89.24548148
37013930300,37,13,930300,-0.04321076,2.684178355,98.91973101,167.1044589
37013930501,37,13,930501,-1.840535986,1.551701626,53.98660036,138.7925406
37019020105,37,19,20105,-0.86551716,1.00140707,78.362071,125.0351768
37019020107,37,19,20107,-0.823029077,0.952387756,79.42427307,123.8096939
37019020108,37,19,20108,-0.617730001,1.418178693,84.55674997,135.4544673
37019020201,37,19,20201,-0.697408907,1.259930964,82.56477733,131.4982741
37019020304,37,19,20304,-3.063644673,0.603395574,23.40888318,115.0848894
37019020313,37,19,20313,-4.391115649,0.012314601,-9.777891214,100.307865
37019020314,37,19,20314,-4.099900753,-0.054071308,-2.497518818,98.6482173
37019020315,37,19,20315,-2.703381306,1.330049235,32.41546735,133.2512309
37019020504,37,19,20504,-4.703225899,0.738929242,-17.58064748,118.4732311
37019020510,37,19,20510,-3.58943345,1.085606995,10.26416375,127.1401749
37019020511,37,19,20511,-2.698174357,1.649723656,32.54564109,141.2430914
37019020514,37,19,20514,-1.866462559,2.201801744,53.33843602,155.0450436
37019020516,37,19,20516,-3.97283024,1.144922341,0.679244011,128.6230585
37019020517,37,19,20517,-4.447517135,0.84666403,-11.18792836,121.1666007
37019020518,37,19,20518,-3.664665551,0.572690052,8.383361237,114.3172513
37021000100,37,21,100,1.468562802,0.414476253,136.7140701,110.3619063
37021000200,37,21,200,1.151634941,0.165560751,128.7908735,104.1390188
